density,lake_area,survive_percent,reached
0.001,100,1.0,0.0
0.001,400,1.0,0.0
0.001,900,1.0,0.0
0.001,1600,1.0,0.0
0.001,2500,1.0,0.0
0.001,3600,1.0,0.0
0.001,4900,1.0,0.0
0.001,6400,1.0,0.0
0.001,8100,1.0,0.0
0.001,10000,1.0,0.0
0.001,12100,1.0,0.0
0.001,14400,1.0,0.0
0.020980000000000002,100,0.9999695078325654,0.0
0.020980000000000002,400,0.999951001642141,0.0
0.020980000000000002,900,0.9999570599740893,0.0
0.020980000000000002,1600,0.9999751474896532,0.0
0.020980000000000002,2500,0.99996226994549,0.0
0.020980000000000002,3600,0.9999615368610042,0.0
0.020980000000000002,4900,0.9999150672504258,0.0
0.020980000000000002,6400,0.9999263986966497,0.0
0.020980000000000002,8100,0.999944238575006,0.0
0.020980000000000002,10000,0.9998864165236964,0.0
0.020980000000000002,12100,0.9999348599794051,0.0
0.020980000000000002,14400,0.99995492817952,0.0
0.04096,100,0.9999378001098288,0.0
0.04096,400,0.9998968122123488,0.0
0.04096,900,0.9998796985038801,0.0
0.04096,1600,0.9999137897801835,0.0
0.04096,2500,0.9999385487244262,0.0
0.04096,3600,0.9998882446372523,0.0
0.04096,4900,0.9998897733060123,0.0
0.04096,6400,0.9999066457418021,0.0
0.04096,8100,0.9999017528745957,0.0
0.04096,10000,0.9999312460335273,0.0
0.04096,12100,0.9998891001627983,0.0
0.04096,14400,0.9998750196028238,0.0
0.06094000000000001,100,0.9998679800796741,0.0
0.06094000000000001,400,0.9998589380308167,0.0
0.06094000000000001,900,0.9998010528432009,0.0
0.06094000000000001,1600,0.9998735917503687,0.0
0.06094000000000001,2500,0.9999002956383983,0.0
0.06094000000000001,3600,0.9998494022482459,0.0
0.06094000000000001,4900,0.9998320151675126,0.0
0.06094000000000001,6400,0.999896013944482,0.0
0.06094000000000001,8100,0.999838812697037,0.0
0.06094000000000001,10000,0.9998687783373572,0.0
0.06094000000000001,12100,0.999803320386544,0.0
0.06094000000000001,14400,0.9998373010286795,0.0
0.08092,100,0.99979662740035,0.0
0.08092,400,0.9997718361905495,0.0
0.08092,900,0.9997956390641277,0.0
0.08092,1600,0.9997400502254717,0.0
0.08092,2500,0.9998074065924968,0.0
0.08092,3600,0.9997617029254141,0.0
0.08092,4900,0.9997885318959286,0.0
0.08092,6400,0.9997554043865584,0.0
0.08092,8100,0.9997839576155826,0.0
0.08092,10000,0.9997192676669927,0.0
0.08092,12100,0.9997273139566171,0.0
0.08092,14400,0.9997282818491228,0.0
0.1009,100,0.9997606460758498,0.0
0.1009,400,0.9996973491507993,0.0
0.1009,900,0.9997365432671177,0.0
0.1009,1600,0.9997266551408406,0.0
0.1009,2500,0.9997395249989791,0.0
0.1009,3600,0.9997313315034297,0.0
0.1009,4900,0.9997370576029545,0.0
0.1009,6400,0.9997296093915787,0.0
0.1009,8100,0.9997116289775868,0.0
0.1009,10000,0.9997055871902354,0.0
0.1009,12100,0.999650709939266,0.0
0.1009,14400,0.9996457722213155,0.0
0.12088000000000002,100,0.999650392073067,0.0
0.12088000000000002,400,0.9996725413842801,0.0
0.12088000000000002,900,0.9996643285061657,0.0
0.12088000000000002,1600,0.9996131692453286,0.0
0.12088000000000002,2500,0.9996365263579279,0.0
0.12088000000000002,3600,0.9996507879492119,0.0
0.12088000000000002,4900,0.999624948759422,0.0
0.12088000000000002,6400,0.9996557397985715,0.0
0.12088000000000002,8100,0.9995798521232457,0.0
0.12088000000000002,10000,0.9995944908273323,0.0
0.12088000000000002,12100,0.9995972942364023,0.0
0.12088000000000002,14400,0.9996291037336712,0.0
0.14086,100,0.9995583844945715,0.0
0.14086,400,0.9995463758208778,0.0
0.14086,900,0.9995634546980224,0.0
0.14086,1600,0.9995656846808052,0.0
0.14086,2500,0.9995344664500905,0.0
0.14086,3600,0.9995027164089965,0.0
0.14086,4900,0.9995935403102506,0.0
0.14086,6400,0.9995401446299154,0.0
0.14086,8100,0.9995045665801309,0.0
0.14086,10000,0.999528816233037,0.0
0.14086,12100,0.9994942557662619,0.0
0.14086,14400,0.9994678589870521,0.0
0.16084,100,0.9994727138705848,0.0
0.16084,400,0.9995149819417868,0.0
0.16084,900,0.9994934494547272,0.0
0.16084,1600,0.9995117020570307,0.0
0.16084,2500,0.9994969989607875,0.0
0.16084,3600,0.9994491887452472,0.0
0.16084,4900,0.9994392284385625,0.0
0.16084,6400,0.9994168894004077,0.0
0.16084,8100,0.999373552497311,0.0
0.16084,10000,0.9994069412940029,0.0
0.16084,12100,0.9993988628528225,0.0
0.16084,14400,0.9993275015071913,0.0
0.18082,100,0.999414814203573,0.0
0.18082,400,0.9993938485895986,0.0
0.18082,900,0.9993635593351672,0.0
0.18082,1600,0.9993470136941053,0.0
0.18082,2500,0.9993605275854629,0.0
0.18082,3600,0.9993732669131359,0.0
0.18082,4900,0.9992543436214564,0.0
0.18082,6400,0.9993556434292629,0.0
0.18082,8100,0.99933124815464,0.0
0.18082,10000,0.9992544656512884,0.0
0.18082,12100,0.9992528188446502,0.0
0.18082,14400,0.9991335661346229,0.0
0.2008,100,0.9992257159795394,0.0
0.2008,400,0.999240065266813,0.0
0.2008,900,0.999267836831253,0.0
0.2008,1600,0.9992221003633356,0.0
0.2008,2500,0.9991876922542906,0.0
